Name,Yield
grape plant,12
ginger root,6
spruce tree,27
fir tree,27
juniper tree,27
tendrilmoss vines,1
toxpuff,0
timbercap,2
healtruffle,1
stinker,3
blisscap,4
lullabloom,0
bileceps,2
glowcap,20
redcap,0
zapcap,0
zapcap,0
thermoregulus,0
foampuffer,0
mycothread mushroom,8
polux bush,30
poppy,2
blueberry plant,9
barley plant,15
sorghum plant,25
rye plant,20
oat plant,15
cave moss,14
tinctshroom,1
healshroom,1
celery plant,62
pineapple plant,10
lettuce plant,8
brussels sprout plant,12
cassava plant,9
sweet potato plant,10
radish plant,3
buckwheat plant,9
peanut plant,12
secondary peanut plant,12
sunflower plant,16
okra plant,14
garlic plant,9
carrot plant,8
green bean plant,8
chickpea plant,40
bell pepper plant,10
bell pepper plant,11
taro plant,11
watercress plant,6
lotus plant,35
water chestnut plant,9
melon plant,19
cucumber plant,5
butternut squash plant,25
aloe vera plant,1
canola plant,10
lavender,0
fragrantbloom rose,0
hyacinth,0
jasmine,0
lily,0
orchid,0
plumeria,0
tulip,0
vanilla,0
violet,0
ylang-Ylang,0
avocado tree,160
olive tree,42
coconut palm,50
almond tree,50
mango tree,50
ambrosia palm,75
cocoa bush,20
lemon tree,50
mint plant,2
aloe vera plant,0
bunny ears cactus,0
echeveria plant,0
fairy washboard plant,0
jade plant,0
peyote plant,0
pincushion plant,0
schlumbergera plant,0
snake plant,0
sweetheart plant,0
coffee plant,25
tea grass,19
tobacco plant,10
soybean plant,7
wasabi plant,1
Grass,0
tall grass,0
agave,10
onion plant,11
pumpkin plant,19
pepper plant,10
pea plant,12
eggplant,10
cabbage plant,11
beet plant,10
tomato plant,10
apple tree,50
peach tree,50
cherry tree,50
plum tree,50
pear tree,20
opuntia,35
bearberry bush,40
banana tree,50
orange tree,50
sugarcane plant,2
allspice plant,2
wheat plant,27
chemroot,5
undefinedPlant,0
bluebell,0
gardenia,0
gentian,0
petunia,0
anima tree,0
chopped anima stump,0
smashed anima stump,0
anima grass,0
nutrifungus,11
bonsai tree,2
fibercorn,2
timbershroom,25
Gauranlen tree,35
chopped gauranlen stump,0
smashed gauranlen stump,0
Gauranlen moss,0
Gauranlen pod,1
Gauranlen seed,0
undefinedPlant,0
undefinedPlant,0
undefinedPlant,0
undefinedPlant,25
undefinedPlant,0
undefinedPlant,0
glowstool,20
agarilux,35
bryolux,0
rose,0
daylily,0
rice plant,6
potato plant,11
corn plant,22
strawberry plant,8
haygrass,18
cotton plant,10
devilstrand,6
undefinedPlant,1
healroot,0
hop plant,8
smokeleaf plant,9
psychoid plant,8
cocoa tree,20
undefinedPlant,4
burned stump,0
chopped stump,0
smashed stump,0
ambrosia bush,4
tinctoria,1
dye,0
agave,10
pincushion cactus,0
saguaro cactus,15
drago tree,25
grass,0
tall grass,0
bush,0
brambles,0
wild healroot,0
willow tree,27
cypress tree,60
maple tree,27
chokevine,0
dandelions,0
astragalus,0
moss,0
berry bush,10
oak tree,46
poplar tree,27
pine tree,27
birch tree,27
low shrubs,0
alocasia,0
clivia,0
giant rafflesia,0
teak tree,60
cecropia tree,18
palm tree,18
bamboo tree,10
toxipotato plant,7
polux tree,30
chopped polux stump,0
smashed polux stump,0
polux seed,0
undefinedPlant,0
undefinedPlant,0
undefinedPlant,0
gray grass,0
ripthorn,0
pebble cactus,6
gray pine tree,8
witchwood tree,8
rat palm tree,8
chopped stump,0
smashed stump,0
harbinger tree,15
chopped harbinger stump,0
smashed harbinger stump,0
harbinger seed,0
